Регион,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Акмолинская,-,,,,,,,,,,,
Актюбинская,-,-,-,-,-,-,-,-,-,-,-,-
Алматинская,-,-,-,-,-,-,-,-,-,-,-,-
Атырауская,-,-,-,-,-,-,-,-,-,-,-,-
Восточно-Казахстанская,-,-,-,-,-,-,-,-,-,-,-,-
Жамбылская,-,-,-,-,-,-,-,-,-,-,-,-
Западно-Казахстанская,-,-,-,-,-,-,-,-,-,-,-,-
Карагандинская,-,-,-,-,-,-,-,-,-,-,-,-
Костанайская,-,-,-,-,-,-,-,-,-,-,-,-
Кызылординская,-,-,-,-,-,-,-,-,-,-,-,-
Мангыстауская,-,-,-,-,-,-,-,-,-,-,-,-
Павлодарская,-,-,-,-,-,-,-,-,-,-,-,-
Северо-Казахстанская,-,-,-,-,-,-,-,-,-,-,-,-
Южно-Казахстанская,-,-,-,800.0,900.0,1312.0,1110.0,1500.0,900.0,900.0,900.0,800.0
