Регион,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Акмолинская,-,-,-,-,-,-,-,-,-,-,-,-,-
Актюбинская,-,-,-,-,-,-,-,-,-,-,-,-,-
Алматинская,-,-,-,-,-,-,-,-,-,-,-,-,-
Атырауская,-,-,-,-,-,-,-,-,-,-,-,-,-
Восточно-Казахстанская,0.0,0.0,0.0,5.586,5.586,5.361,5.361,0.861,0.543,0.314,0.251,0.06,0.0
Жамбылская,-,-,-,-,-,-,-,-,-,-,-,-,-
Западно-Казахстанская,-,-,-,-,-,-,-,-,-,-,-,-,-
Карагандинская,-,-,-,-,-,-,-,-,-,-,-,-,-
Костанайская,-,-,-,-,-,-,-,-,-,-,-,-,-
Кызылординская,-,-,-,-,-,-,-,-,-,-,-,-,-
Мангыстауская,-,-,-,-,-,-,-,-,-,-,-,-,-
Павлодарская,-,-,-,-,-,-,-,-,-,-,-,-,-
Северо-Казахстанская,-,-,-,-,-,-,-,-,-,-,-,-,-
Южно-Казахстанская,-,-,-,-,-,-,-,-,-,-,-,-,-
